table_name,rls_enabled,has_policy_isolation,isolation_expr_ok,fk_to_orgs,has_updated_at,has_status,has_stage,has_idx_org,has_idx_org_updated,has_idx_org_status,has_idx_org_stage
ai_credit_usage,True,1,0,1,0,0,0,1,NULL,NULL,NULL
ai_usage_logs,True,1,0,1,0,0,0,1,NULL,NULL,NULL
appointments,True,1,0,1,0,1,0,1,NULL,1,NULL
assets,True,1,0,1,1,0,0,1,1,NULL,NULL
audit_logs,True,1,0,1,0,0,0,1,NULL,NULL,NULL
calendar_events,True,1,0,1,1,1,0,1,1,1,NULL
calendar_integrations,True,1,0,1,1,0,0,1,1,NULL,NULL
calendar_members,True,1,0,1,0,0,0,1,NULL,NULL,NULL
calendars,True,1,0,1,1,0,0,1,1,NULL,NULL
channel_id_map,True,1,0,1,0,0,0,1,NULL,NULL,NULL
channels,True,1,0,1,0,0,0,1,NULL,NULL,NULL
clients,True,1,0,1,1,1,0,1,1,1,NULL
contact_tags,True,1,0,1,0,0,0,1,NULL,NULL,NULL
contacts,True,1,0,1,1,0,0,1,1,NULL,NULL
conversations,True,1,0,1,1,1,0,1,1,1,NULL
crm_opportunities,True,1,0,1,1,0,1,1,1,NULL,1
email_automation_steps,True,1,0,1,0,0,0,1,NULL,NULL,NULL
email_automations,True,1,0,1,1,1,0,1,1,1,NULL
email_campaign_recipients,True,1,0,1,0,1,0,1,NULL,1,NULL
email_campaigns,True,1,0,1,1,1,0,1,1,1,NULL
email_events,True,1,0,1,0,0,0,1,NULL,NULL,NULL
email_lists,True,1,0,1,1,0,0,1,1,NULL,NULL
email_segments,True,1,0,1,1,0,0,1,1,NULL,NULL
email_subscriptions,True,1,0,1,1,1,0,1,1,1,NULL
email_templates,True,1,0,1,1,0,0,1,1,NULL,NULL
invoices,True,1,0,1,0,1,0,1,NULL,1,NULL
leads,True,1,0,1,0,1,0,1,NULL,1,NULL
lgpd_consents,True,1,0,1,0,0,0,1,NULL,NULL,NULL
lgpd_erasure_requests,True,1,0,1,0,0,0,1,NULL,NULL,NULL
message_attachments,True,1,0,1,0,0,0,1,NULL,NULL,NULL
message_templates,True,1,0,1,1,0,0,1,1,NULL,NULL
message_transcripts,True,1,0,1,0,0,0,1,NULL,NULL,NULL
messages,True,1,0,1,0,1,0,1,NULL,1,NULL
nps_responses,True,1,0,1,0,0,0,1,NULL,NULL,NULL
nps_surveys,True,1,0,1,0,0,0,1,NULL,NULL,NULL
onboarding_tasks,True,1,0,1,1,0,0,1,1,NULL,NULL
org_ai_settings,True,1,0,1,1,0,0,1,1,NULL,NULL
org_users,True,1,0,1,0,0,0,1,NULL,NULL,NULL
posts,True,1,0,1,1,1,0,1,1,1,NULL
repurpose_jobs,True,1,0,1,0,1,0,1,NULL,1,NULL
rewards,True,1,0,1,0,0,0,1,NULL,NULL,NULL
social_posts,True,1,0,1,1,1,0,1,1,1,NULL
subscriptions,True,1,0,1,1,1,0,1,1,1,NULL
tags,True,1,0,1,0,0,0,1,NULL,NULL,NULL
usage_counters,True,1,0,1,0,0,0,1,NULL,NULL,NULL
user_orgs,True,1,0,1,1,0,0,1,1,NULL,NULL
whatsapp_templates,True,1,0,1,1,1,0,1,1,1,NULL
