table_name,column_name,data_type,is_nullable,column_default
ai_credit_usage,id,uuid,NO,gen_random_uuid()
ai_credit_usage,category,text,YES,
ai_credit_usage,org_id,uuid,YES,
ai_credit_usage,period_start,timestamp with time zone,YES,
ai_credit_usage,user_id,uuid,YES,
ai_credit_usage,used,text,YES,
ai_credit_usage,used_num,numeric,YES,
ai_credit_usage,created_at,timestamp with time zone,YES,now()
ai_credit_usage,updated_at,timestamp with time zone,YES,now()
ai_guardrail_violations,channel,text,YES,
ai_guardrail_violations,created_at,timestamp with time zone,YES,now()
ai_guardrail_violations,created_by,text,YES,
ai_guardrail_violations,id,uuid,NO,public.gen_random_uuid()
ai_guardrail_violations,input_excerpt,text,YES,
ai_guardrail_violations,intent,text,YES,
ai_guardrail_violations,message,text,YES,
ai_guardrail_violations,org_id,uuid,YES,public.gen_random_uuid()
ai_guardrail_violations,output_excerpt,text,YES,
ai_guardrail_violations,payload,text,YES,
ai_guardrail_violations,rule,text,YES,
ai_guardrail_violations,stage,text,YES,
ai_guardrail_violations,updated_at,timestamp with time zone,YES,now()
ai_guardrail_violations,user_id,uuid,YES,public.gen_random_uuid()
ai_meters,code,text,YES,
ai_meters,created_at,timestamp with time zone,YES,now()
ai_meters,id,uuid,NO,public.gen_random_uuid()
ai_meters,name,text,YES,
ai_meters,unit,text,YES,
ai_meters,updated_at,timestamp with time zone,YES,now()
ai_meters,org_id,uuid,YES,
ai_usage,created_at,timestamp with time zone,YES,now()
ai_usage,id,uuid,NO,public.gen_random_uuid()
ai_usage,meta,text,YES,
ai_usage,meter_code,text,YES,
ai_usage,org_id,uuid,YES,public.gen_random_uuid()
ai_usage,qty,text,YES,
ai_usage,source,text,YES,
ai_usage,updated_at,timestamp with time zone,YES,now()
ai_usage,category,text,YES,
ai_usage,user_id,uuid,YES,
ai_usage,qty_num,numeric,YES,
ai_usage_logs,id,uuid,NO,gen_random_uuid()
appointment_messages,id,uuid,NO,
appointment_messages,appointment_id,uuid,NO,
appointment_messages,direction,text,NO,
appointment_messages,message_text,text,YES,
appointment_messages,channel_message_id,text,YES,
appointment_messages,created_at,timestamp with time zone,NO,now()
appointment_types,id,uuid,NO,
appointment_types,org_id,uuid,NO,
appointment_types,name,text,NO,
appointment_types,duration_min,integer,NO,
appointment_types,buffer_before_min,integer,NO,0
appointment_types,buffer_after_min,integer,NO,0
appointment_types,location_type,text,NO,
appointment_types,price,numeric,YES,
appointment_types,description,text,YES,
appointment_types,is_active,boolean,NO,true
appointments,id,uuid,NO,
appointments,org_id,uuid,NO,
appointments,professional_id,uuid,NO,
appointments,contact_id,uuid,YES,
appointments,appointment_type_id,uuid,YES,
appointments,channel_type,text,YES,
appointments,status,text,NO,'pending'::text
appointments,start_at,timestamp with time zone,YES,
appointments,end_at,timestamp with time zone,YES,
appointments,time_zone,text,NO,'America/Sao_Paulo'::text
appointments,location_text,text,YES,
appointments,google_event_id,text,YES,
appointments,google_calendar_id,text,YES,
appointments,notes,text,YES,
appointments,created_by,text,NO,'agent'::text
appointments,created_via,text,NO,'ui'::text
appointments,audit_trace,jsonb,NO,'[]'::jsonb
appointments,conversation_id,uuid,YES,
appointments,created_at,timestamp with time zone,NO,now()
appointments,updated_at,timestamp with time zone,NO,now()
assets,id,uuid,NO,gen_random_uuid()
audit_logs,id,uuid,NO,gen_random_uuid()
calendar_accounts,id,uuid,NO,
calendar_accounts,org_id,uuid,NO,
calendar_accounts,professional_id,uuid,YES,
calendar_accounts,provider,text,NO,
calendar_accounts,google_account_email,text,YES,
calendar_accounts,oauth_access_token,text,YES,
calendar_accounts,oauth_refresh_token,text,YES,
